ExciseTaxNbr,Month,Day,Year,SalePrice,PropertyType,PropertyClass,PrincipalUse,SaleInstrument,SaleReason,AFHistoricProperty
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
3076655,10,15,2020,13999986,11,8,6,2,1,N
2428402,02,05,2010,0,3,3,2,18,4,N
2270753,03,06,2007,323950,2,3,2,3,1,N
2367258,10,10,2008,1900000,3,8,6,3,1,N
1249886,05,20,1992,113000,3,8,6,2,1,N
1257872,06,29,1992,0,3,8,0,15,18,N
2227277,08,02,2006,0,3,8,6,4,5,N
1284454,12,05,1992,0,1,7,0,15,18,N
3100167,07,28,2005,0,11,8,6,2,16,N
2199628,04,10,2006,0,3,8,6,15,10,N
2528886,12,01,2011,0,4,9,6,15,8,N
2136410,06,28,2005,68000,3,3,2,3,1,N
2309580,08,29,2007,425000,3,8,6,3,1,N
2529866,08,19,2011,0,3,3,2,2,4,N
1501341,04,25,1996,0,4,9,6,15,18,N
1877227,02,23,2002,0,1,7,6,15,5,N
1133726,02,07,1990,21,1,2,0,2,18,N
2727666,04,29,2015,0,1,8,6,15,1,N
2745507,07,17,2015,380000,3,8,6,3,1,N
1993836,10,02,2003,0,3,8,6,15,5,N
731700,07,14,1983,0,3,8,0,15,9, 
1663819,12,02,1986,0,3,8,6,3,16,N
1303031,04,13,1993,96000,4,9,0,2,1,N
2482546,03,04,2011,463000,3,8,6,3,1,N
2716757,02,11,2015,155000,1,7,6,3,1,N
2716757,02,11,2015,155000,1,7,6,3,1,N
1815918,04,24,2001,322000,3,3,2,3,1,N
1846627,10,12,2001,0,3,8,6,15,18,N
2217175,06,20,2006,395000,3,3,2,3,1,N
2301926,07,29,2007,625000,3,8,6,3,1,N
2389859,04,30,2009,0,3,8,6,15,13,N
3089967,12,17,2020,360000,14,3,2,3,1,N
2979515,12,03,2018,0,3,8,6,3,16,N
1209609,09,09,1991,0,3,3,0,15,18,N
2156860,09,20,2005,540000,3,8,6,3,1,N
1423248,03,31,1995,0,3,8,6,2,18,N
1934421,01,13,2003,420000,1,7,6,3,1,N
1934421,01,13,2003,420000,1,7,6,3,1,N
1934421,01,13,2003,420000,1,7,6,3,1,N
1934421,01,13,2003,420000,1,7,6,3,1,N
1934421,01,13,2003,420000,1,7,6,3,1,N
2754696,09,01,2015,0,3,8,6,15,13,N
1528244,02,12,1997,141000,3,8,6,3,1,N
2743374,07,10,2015,269950,3,8,6,3,1,N
2917768,02,26,2018,850000,3,8,6,3,1,N
1854048,11,21,2001,0,3,8,6,15,13,N
1386884,02,04,1994,0,1,7,0,2,16,N
1861106,12,31,2001,325000,3,8,6,3,1,N
2669471,05,21,2014,0,3,8,6,15,10,N
1830295,07,03,2001,7550000,0,2,11,3,1,N
1830295,07,03,2001,7550000,0,2,11,3,1,N
1339186,10,22,1993,73950,3,3,0,2,1,N
2690806,08,25,2014,1312000,3,8,6,3,1,N
1399183,10,03,1994,0,1,8,0,2,18,N
1399183,10,03,1994,0,1,8,0,2,18,N
1399183,10,03,1994,0,1,8,0,2,18,N
2940364,07,06,2018,5500000,3,7,6,3,18,N
2940364,07,06,2018,5500000,3,7,6,3,18,N
2940364,07,06,2018,5500000,3,7,6,3,18,N
2940364,07,06,2018,5500000,3,7,6,3,18,N
2519260,11,11,2011,105000,3,2,11,3,1,N
2908265,12,07,2017,0,3,2,7,15,10,N
